12/05/2011 15:32:12 (Std) 	---- Source texture file: EQHomeUIimg\Mouse.dds in resource group: (Default)
12/05/2011 15:32:12 (Info) 	Finished creation of Imageset 'MouseArrow' via XML file. (003D61E0)
12/05/2011 15:32:12 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeUIimg\Imageset\Button1.imageset'.
12/05/2011 15:32:12 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:12 (Std) 	---- CEGUI Imageset name: Button1
12/05/2011 15:32:12 (Std) 	---- Source texture file: EQHomeUIimg\Button1.dds in resource group: (Default)
12/05/2011 15:32:12 (Info) 	Finished creation of Imageset 'Button1' via XML file. (00D74DE0)
12/05/2011 15:32:12 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeUIimg\Imageset\Button2.imageset'.
12/05/2011 15:32:12 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:12 (Std) 	---- CEGUI Imageset name: Button2
12/05/2011 15:32:12 (Std) 	---- Source texture file: EQHomeUIimg\Button2.png in resource group: (Default)
12/05/2011 15:32:12 (Error)	CEGUI::InvalidRequestException in file ..\..\..\src\CEGUIDefaultResourceProvider.cpp(54) : DefaultResourceProvider::load - EQHomeUIimg\Button2.png does not exist
12/05/2011 15:32:12 (Error)	CEGUI::RendererException in file ..\..\..\src\CEGUIImageset_xmlHandler.cpp(124) : Imageset::xmlHandler::startElement - An unexpected error occurred while creating a Texture object from file 'EQHomeUIimg\Button2.png'
12/05/2011 15:32:12 (Error)	Imageset::load - loading of Imageset from file 'EQHomeUIimg\Imageset\Button2.imageset' failed.
12/05/2011 15:32:14 (Error)	CELayoutEditor has detected and caught an exception. The following detailed info is available:

Description: Error
Exception Location: EditorFrame::LoadData
Exception Message: Imageset::xmlHandler::startElement - An unexpected error occurred while creating a Texture object from file 'EQHomeUIimg\Button2.png'
Exception Filename: ..\..\..\src\CEGUIImageset_xmlHandler.cpp
Exception Line: 124
12/05/2011 15:32:14 (Std) 	Attempting to load Scheme from file 'LoadIcon.scheme'.
12/05/2011 15:32:14 (Info) 	Started creation of Scheme 'MainUI' via XML file.
12/05/2011 15:32:14 (Info) 	Finished creation of Scheme 'MainUI' via XML file.
12/05/2011 15:32:14 (Info) 	Loaded GUI scheme 'MainUI' from data in file 'LoadIcon.scheme'. (00D79848)
